Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem D-01,3,Correct,3
Basic Problem D-02,1,Correct,1
Basic Problem D-03,3,Correct,3
Basic Problem D-04,5,Incorrect,1
Basic Problem D-05,7,Correct,7
Basic Problem D-06,1,Correct,1
Basic Problem D-07,1,Correct,1
Basic Problem D-08,4,Correct,4
Basic Problem D-09,3,Correct,3
Basic Problem D-10,1,Correct,1
Basic Problem D-11,3,Correct,3
Basic Problem D-12,1,Incorrect,3
Basic Problem E-01,1,Correct,1
Basic Problem E-02,7,Correct,7
Basic Problem E-03,2,Correct,2
Basic Problem E-04,-1,Skipped,8
Basic Problem E-05,5,Correct,5
Basic Problem E-06,8,Correct,8
Basic Problem E-07,3,Correct,3
Basic Problem E-08,1,Correct,1
Basic Problem E-09,-1,Skipped,7
Basic Problem E-10,8,Correct,8
Basic Problem E-11,5,Correct,5
Basic Problem E-12,-1,Skipped,6
